gravedad,claseSiniestro,choque,codigoLocalidad,disenoLugar,condicion,estado,edad,sexo,claseVehiculo,servicio,enfuga,codigoCausa,fechaHora
2,1,1.0,11,11,2.0,1.0,36.0,1.0,10.0,3.0,1.0,8,2020-05-07 15:30:00
3,1,1.0,9,1,1.0,1.0,24.0,2.0,2.0,2.0,1.0,13,2020-04-12 19:10:00
3,1,1.0,9,5,1.0,1.0,25.0,1.0,5.0,3.0,1.0,13,2017-05-31 18:00:00
3,1,1.0,10,1,1.0,1.0,19.0,1.0,5.0,2.0,1.0,31,2020-04-27 15:00:00
3,1,1.0,10,2,1.0,1.0,39.0,2.0,1.0,3.0,1.0,67,2015-06-17 07:00:00
2,1,1.0,9,2,1.0,1.0,21.0,1.0,1.0,2.0,1.0,22,2020-01-19 02:47:00
3,1,1.0,8,1,1.0,1.0,38.0,1.0,1.0,1.0,1.0,13,2016-12-14 06:45:00
3,1,1.0,18,2,1.0,1.0,22.0,1.0,1.0,3.0,1.0,13,2020-01-09 18:50:00
2,1,1.0,8,1,1.0,2.0,40.0,1.0,4.0,3.0,1.0,31,2017-08-05 23:20:00
3,1,1.0,10,1,1.0,1.0,44.0,1.0,1.0,2.0,1.0,31,2017-08-03 15:20:00
3,1,1.0,10,1,1.0,1.0,21.0,1.0,5.0,2.0,1.0,13,2017-06-12 10:22:00
3,1,1.0,4,2,1.0,1.0,66.0,1.0,1.0,3.0,1.0,25,2015-12-22 19:30:00
2,2,0.0,9,1,1.0,1.0,37.71525130603967,0.0,0.0,0.0,2.0,67,2019-09-14 05:30:00
2,1,1.0,9,1,2.0,1.0,37.0,1.0,13.0,0.0,1.0,8,2018-04-04 02:30:00
3,1,1.0,1,1,1.0,1.0,51.0,2.0,4.0,3.0,1.0,16,2018-03-05 07:20:00
2,1,1.0,19,1,2.0,2.0,29.0,1.0,2.0,2.0,1.0,14,2015-12-23 03:00:00
3,1,1.0,8,1,1.0,1.0,38.0,1.0,1.0,2.0,1.0,13,2016-12-14 06:45:00
3,1,1.0,11,1,1.0,1.0,29.0,1.0,1.0,3.0,1.0,31,2018-05-10 16:40:00
3,1,1.0,10,2,1.0,1.0,49.0,1.0,5.0,1.0,1.0,52,2020-01-15 16:15:00
3,1,1.0,16,1,1.0,1.0,42.0,1.0,1.0,3.0,1.0,44,2017-02-15 09:30:00
3,1,1.0,2,1,1.0,1.0,54.0,1.0,6.0,3.0,1.0,53,2015-09-30 15:00:00
3,1,1.0,8,1,2.0,1.0,33.0,1.0,10.0,3.0,1.0,13,2018-04-09 08:00:00
3,1,1.0,7,1,1.0,1.0,53.0,1.0,1.0,3.0,1.0,13,2015-08-14 19:30:00
3,1,1.0,1,1,2.0,1.0,21.0,1.0,10.0,3.0,1.0,13,2017-06-22 16:35:00
3,1,1.0,14,1,1.0,1.0,35.0,1.0,1.0,2.0,1.0,33,2018-10-21 19:50:00
3,1,1.0,16,1,1.0,1.0,36.0,1.0,1.0,3.0,1.0,22,2018-10-11 13:00:00
3,1,1.0,12,1,1.0,1.0,32.0,2.0,1.0,3.0,1.0,13,2016-07-21 10:32:00
2,1,1.0,7,1,1.0,1.0,28.0,1.0,10.0,3.0,1.0,31,2020-12-17 05:05:00
2,1,1.0,16,1,2.0,2.0,45.0,1.0,10.0,3.0,1.0,14,2017-11-30 19:40:00
3,1,1.0,10,2,1.0,1.0,44.0,1.0,1.0,3.0,1.0,31,2019-05-30 02:40:00
3,1,1.0,4,2,1.0,1.0,22.0,1.0,9.0,3.0,1.0,22,2020-08-24 13:55:00
2,1,1.0,12,1,3.0,2.0,36.0,2.0,3.0,2.0,1.0,22,2015-06-22 05:30:00
3,1,1.0,12,1,1.0,1.0,25.0,1.0,5.0,3.0,1.0,55,2017-08-28 10:30:00
2,1,1.0,5,1,5.0,2.0,20.0,1.0,13.0,0.0,1.0,31,2017-06-11 10:15:00
2,2,0.0,10,1,2.0,1.0,26.0,1.0,10.0,3.0,1.0,67,2019-03-07 15:00:00
2,3,0.0,8,1,1.0,1.0,44.0,1.0,2.0,2.0,1.0,108,2018-10-18 19:00:00
3,1,1.0,14,1,1.0,1.0,29.0,1.0,1.0,2.0,1.0,31,2015-12-13 12:20:00
2,2,0.0,11,1,4.0,2.0,28.0,1.0,10.0,3.0,1.0,101,2016-08-28 03:10:00
3,1,1.0,2,1,1.0,1.0,33.0,1.0,1.0,3.0,1.0,31,2016-10-06 12:20:00
2,1,1.0,5,1,1.0,1.0,55.0,1.0,10.0,3.0,1.0,67,2020-04-17 11:10:00
2,1,1.0,8,1,1.0,2.0,26.0,1.0,5.0,3.0,1.0,85,2017-12-12 10:00:00
3,1,4.0,13,10,1.0,1.0,37.71525130603967,0.0,4.0,2.0,1.0,67,2019-03-11 20:58:00
2,1,1.0,8,2,5.0,2.0,35.0,1.0,13.0,0.0,1.0,33,2018-01-12 13:10:00
3,1,1.0,12,1,1.0,1.0,23.0,2.0,6.0,3.0,1.0,67,2017-11-11 09:30:00
3,1,1.0,12,1,1.0,1.0,46.0,1.0,4.0,2.0,1.0,31,2017-06-16 06:40:00
3,1,1.0,2,10,1.0,1.0,43.0,1.0,1.0,3.0,1.0,31,2017-10-06 12:20:00
3,1,1.0,11,2,1.0,1.0,38.0,1.0,1.0,3.0,1.0,22,2017-02-03 18:20:00
2,1,1.0,9,1,2.0,2.0,52.0,1.0,1.0,3.0,1.0,13,2018-10-14 16:20:00
2,2,0.0,8,1,4.0,2.0,72.0,1.0,10.0,3.0,1.0,100,2015-05-27 16:42:00
3,1,1.0,1,1,1.0,1.0,29.0,1.0,1.0,3.0,1.0,9,2020-12-06 11:13:00
2,2,0.0,16,2,4.0,2.0,43.0,1.0,2.0,2.0,1.0,102,2018-04-09 15:50:00
2,2,0.0,11,1,2.0,1.0,23.0,1.0,10.0,3.0,1.0,100,2016-09-13 12:00:00
3,1,1.0,7,1,1.0,1.0,34.0,1.0,1.0,3.0,1.0,13,2017-01-20 10:50:00
2,2,0.0,19,1,5.0,1.0,55.0,1.0,13.0,0.0,1.0,67,2019-06-29 09:00:00
3,1,1.0,8,1,1.0,1.0,32.0,1.0,1.0,3.0,1.0,31,2015-07-27 20:35:00
3,1,1.0,16,1,1.0,1.0,31.0,2.0,1.0,3.0,1.0,13,2017-12-06 11:45:00
3,1,4.0,12,1,1.0,1.0,26.0,1.0,4.0,2.0,1.0,51,2018-09-21 13:40:00
3,1,1.0,5,1,1.0,1.0,44.0,1.0,2.0,2.0,1.0,67,2018-03-14 12:10:00
3,1,1.0,16,1,2.0,1.0,21.0,1.0,4.0,2.0,1.0,13,2019-02-19 20:25:00
3,1,1.0,8,1,1.0,1.0,51.0,1.0,8.0,2.0,1.0,13,2019-10-18 06:37:00
2,1,1.0,19,1,3.0,2.0,5.0,2.0,1.0,3.0,1.0,13,2020-03-18 10:13:00
2,1,1.0,19,1,3.0,2.0,5.0,2.0,10.0,3.0,1.0,49,2017-04-24 12:50:00
3,1,1.0,12,1,1.0,1.0,31.0,1.0,2.0,2.0,1.0,67,2016-08-30 15:15:00
2,1,1.0,13,2,3.0,2.0,33.0,1.0,1.0,3.0,1.0,67,2015-05-17 06:00:00
3,1,1.0,3,2,1.0,1.0,31.0,1.0,1.0,2.0,1.0,67,2016-10-29 20:15:00
3,1,1.0,4,2,1.0,1.0,36.0,1.0,10.0,3.0,1.0,22,2016-07-20 16:45:00
3,1,1.0,3,2,2.0,1.0,41.0,1.0,10.0,3.0,1.0,67,2017-04-24 05:20:00
3,1,1.0,11,1,1.0,1.0,58.0,1.0,1.0,3.0,1.0,31,2015-03-23 11:00:00
2,1,1.0,1,1,2.0,2.0,22.0,1.0,10.0,3.0,1.0,42,2019-06-19 08:38:00
3,1,1.0,1,1,1.0,1.0,19.0,2.0,1.0,3.0,1.0,31,2017-11-02 16:00:00
3,1,1.0,11,1,1.0,1.0,45.0,1.0,2.0,2.0,1.0,67,2019-02-13 19:10:00
2,1,1.0,14,1,1.0,1.0,50.0,1.0,10.0,3.0,1.0,33,2016-12-10 17:39:00
3,1,1.0,19,1,1.0,1.0,30.0,2.0,1.0,3.0,1.0,13,2016-11-17 13:30:00
3,1,1.0,7,1,1.0,1.0,28.0,1.0,2.0,2.0,1.0,13,2016-06-17 19:25:00
3,1,1.0,13,1,1.0,1.0,27.0,1.0,1.0,3.0,1.0,13,2017-05-15 13:30:00
2,1,1.0,17,1,4.0,2.0,48.0,2.0,10.0,3.0,1.0,100,2017-12-15 05:00:00
3,1,1.0,4,2,1.0,1.0,31.0,1.0,1.0,2.0,1.0,67,2020-05-15 21:10:00
3,1,1.0,11,1,2.0,1.0,19.0,1.0,10.0,3.0,1.0,31,2018-07-31 07:30:00
2,1,1.0,4,1,2.0,2.0,23.0,2.0,1.0,3.0,1.0,15,2019-07-26 18:45:00
3,1,1.0,9,2,1.0,1.0,44.0,1.0,1.0,3.0,1.0,22,2016-05-10 11:40:00
3,1,1.0,13,7,1.0,1.0,45.0,1.0,5.0,3.0,1.0,31,2017-06-03 15:00:00
3,1,1.0,3,1,1.0,1.0,39.0,1.0,1.0,2.0,1.0,31,2017-05-27 13:40:00
1,2,0.0,18,1,4.0,3.0,37.71525130603967,0.0,10.0,3.0,1.0,100,2019-04-09 16:25:00
3,1,1.0,17,1,1.0,1.0,25.0,1.0,5.0,3.0,1.0,87,2015-07-18 22:00:00
2,1,1.0,10,1,3.0,2.0,29.0,2.0,5.0,3.0,1.0,31,2017-05-06 12:50:00
3,1,1.0,16,1,1.0,1.0,58.0,1.0,5.0,3.0,1.0,13,2016-12-20 08:50:00
2,1,1.0,9,2,2.0,2.0,24.0,1.0,10.0,3.0,1.0,26,2018-12-26 19:06:00
2,1,1.0,6,1,5.0,2.0,46.0,1.0,13.0,0.0,1.0,24,2019-12-21 12:10:00
1,1,1.0,7,1,3.0,2.0,41.0,2.0,2.0,2.0,1.0,26,2018-08-10 05:45:00
3,1,1.0,9,2,1.0,1.0,30.0,1.0,1.0,3.0,1.0,13,2017-07-10 18:30:00
3,1,1.0,9,1,1.0,1.0,39.0,1.0,2.0,2.0,1.0,13,2018-08-17 16:30:00
3,1,1.0,13,1,2.0,1.0,25.0,1.0,1.0,3.0,1.0,31,2019-03-18 17:15:00
3,1,1.0,13,1,1.0,1.0,34.0,1.0,1.0,3.0,1.0,13,2015-12-28 16:12:00
2,2,0.0,2,2,4.0,2.0,26.0,2.0,1.0,3.0,1.0,33,2020-04-02 09:00:00
3,1,1.0,10,1,1.0,1.0,31.0,1.0,10.0,3.0,1.0,9,2017-08-03 09:30:00
